Хинкали	"Хинка́ли (груз. ხინკალი) — блюдо грузинской кухни из горных областей Пшави, Мтиулети и Хевсурети Грузии, получившее распространение в других районах Кавказа и по всему бывшему СССР. Разновидность дамплингов.
Грузинские хинкали по составу и способу приготовления существенно отличаются от дагестанского и азербайджанского хинкала, который представляет собой иной тип блюда. Вместе с тем, само слово хинкали, по мнению специалистов, имеет аварскую этимологию и восходит к форме множественного числа ххинкI-ал аварского существительного ххинкI."	wiki/hinkali.jpg
Буйабес	Буйабе́с (также буйабесс, в России может применяться наименование «марсельская уха»; фр. Bouillabaisse) — блюдо французской кухни, многокомпонентный рыбный суп, характерный для средиземноморского побережья Франции. Является оригинальным провансальским рыбным супом, наиболее распространён в Марселе. Первоначально это блюдо было распространено среди рыбаков и приготавливалось из остатков нераспроданной за день различной рыбы. Однако впоследствии рецепт усложнился, появилось множество дорогостоящих разновидностей. Также подобные блюда распространены как во французских региональных кухнях, так и в кулинарных традициях других стран.	wiki/bujabes.jpg
Мясо по-французски	"Мясо по-французски  («Мясо по-капитански», «Дипломат», «По-домашнему» или «Сюрприз») — блюдо, приготовленное из слоёв мяса (первоначально телятина, позднее также свинина или говядина), картофеля и сыра.
Во всём мире, кроме постсоветского пространства, называется «мясом по-Орловски» (дословно «телятина Орлов» - Veau Orloff), поскольку создатель блюда, француз Урбен Дюбуа (1818-1901), был поваром графа Алексея Орлова (1787-1862), ближайшего соратника императора Николая Первого.
«Телятина по-Орловски» представляет собой запеканку из телятины, картофеля и грибов, запеченных под соусом бешамель с добавлением сыра. В упрощённой версии, называемой «мясом по-французски», исчезли грибы, а мясная составляющая стала чаще всего включать свинину или говядину, нередко в виде фарша; соус бешамель заменен сливками, сметаной или, в крайнем случае, купленным в магазине майонезом.
Существуют разные варианты приготовления блюда, где может меняться расположение слоёв, состояние продуктов (предварительная обжарка) и формы нарезки (мясо ломтями).
Подавать мясо по-французски принято, нарезая порции, захватывая снизу кусок мяса, и аккуратно перекладывая его на тарелку, чтобы не нарушить целостность слоев.
Во Владивостоке мясо, запеченное под картофельной шубой, именуют «Мясом по-капитански» (чаще, однако, блюдо готовится без картофеля), а в средней полосе России — «Дипломат», «Сюрприз» или «По-домашнему».
В эльзасской кухне, на востоке Франции, существует блюдо под названием «Бекеоффе». В него также входят слои из кусков мяса, картофеля и моркови, но без сыра."	wiki/myaso-po-frantsuzski.jpg
Поке	Поке (гав. poke [ˈpoke] — нарезать, резать на куски) — блюдо гавайской кухни, сырая рыба, нарезанная кубиками, которую подают или как закуску, или как основное блюдо. Одно из основных блюд гавайской кухни. Как правило, для приготовления поке используют или осьминога, или тунца. Блюдо с осьминогом обычно называют Тако Поке (за исключением острова Ниихау, на котором говорят на гавайском языке). Тунец, используемый в блюде, как правило, желтопёрый. В другие варианты поке добавляют сырой лосось или моллюсков. Блюдо подают с сыром и тыквенными приправами (рыба подаётся в сыром виде).	wiki/poke.jpg
Бефстроганов	Бефстро́ганов (от фр. Bœuf Stroganoff — «говядина по-строгановски»; также «Беф-Строганов», «Беф а ля Строганов», мясо по-строгановски) — популярное в России блюдо, названное в честь графа Александра Григорьевича Строганова. Готовится из мелко нарезанных кусочков говядины (тонкие квадратики), залитых горячим сметанным соусом.	wiki/befstroganov.jpg
Харчо	"Харчо́ (груз. ხარჩო, дзрохис хорци харшот — говяжий суп) — национальный грузинский суп из говядины с рисом, грецкими орехами и тклапи или кислым соусом ткемали. Суп очень пряный, острый, с обилием чеснока и зелени (прежде всего, кинзы) и намного гуще, чем прочие супы, к которым применяется правило «в супе должна быть половина жидкости». Существует даже радикальная точка зрения: «настоящий харчо — это не суп, а напоминающее по текстуре карри полноценное горячее блюдо»Характерным отличительным признаком этого национального грузинского блюда от других мясных супов является использование при приготовлении только говядины (в основном грудинки, или, реже, рульки), сливы ткемали и тёртых грецких орехов. По «классическому» рецепту эти три компонента нельзя убрать из блюда или заменить другими. И хотя часто, при указании рецепта харчо, конкретизируют, какой местности Грузии принадлежит рецепт (есть супы-харчо по-грузински, по-мегрельски и т. д.), но его суть — острый говяжий суп с тклапи и орехами, остается неизменной.
Однако в обыденной кухне допускается замена тклапи (кусок которого отламывают от его огромного коржа — лавашана, размачивают и добавляют в харчо, или другие блюда; в рецептах харчо часто можно встретить — «тклапи, кусок как ладонь») на свежую алычу, соус ткемали, гранатовый сок или помидоры и томат-пасту.
Суп харчо стал популярным блюдом в советских столовых и в домашней кухне на Кубани."	wiki/harcho.jpg
Суп	Суп (от фр. soupe) — блюдо, в составе которого содержится не менее 50 % жидкости. Суп — важная составная часть пищи человека, служащая источником энергии и материалом для построения органов и тканей тела. Супы содержат много растворённых белков, жиров, углеводов и экстрактивных веществ, которые легко перевариваются и хорошо усваиваются организмом.	wiki/sup.jpg
Паэлья	"Паэ́лья (кат. Paella [paˈeʎa], произносится «паэйа») — национальное испанское (валенсийское) блюдо из риса, подкрашенного шафраном, с добавлением оливкового масла. Кроме этого в паэлью могут добавляться морепродукты, овощи, курица. Название происходит от латинского слова patella — «сковорода». Популярность этого блюда в настоящее время обусловлена тем, что, применительно к различным регионам испанской кухни, существует множество рецептов приготовления паэльи. Сами испанцы утверждают, что их свыше трёхсот. Классическая паэлья, помимо риса, включает в себя 6—7 видов рыбы и морепродуктов, курицу, белое вино, зелень и специи. В некоторых регионах Испании готовится паэлья из фасоли.
Традиционно подается по воскресеньям или в день святого Иосифа (19 марта).
Многие люди, не являющиеся испанцами, рассматривают паэлью как национальное испанское блюдо, но большинство самих испанцев считают, что это блюдо исключительно Валенсии. Валенсианцы считают паэлью символом своего региона. Сегодня редко можно найти испанский ресторан, в меню которого нет этого блюда. За XX век его популярность так сильно возросла, что сегодня паэлью можно найти почти во всех ресторанах Европы. Результатом такого интереса к паэлье стало появление всевозможных вариантов приготовления этого блюда, от оригинального валенсийского рецепта до таких разновидностей как паэлья с морепродуктами (paella de marisco) и смешанная паэлья (paella mixta), существуют также и многие другие виды.

"	wiki/paelya.jpg
Позы	По́зы (бур. бууза, монг. бууз) —  традиционное бурятское  и монгольское блюдо, также популярное в Иркутской области и Забайкальском крае.	wiki/pozyi.jpg
Бигос	"Би́гос (польск. bigos, лит. bigos, укр. бігос, белор. бігас), также би́гус (нем. Beiguss) — традиционное для украинской, белорусской, польской, латышской и литовской кухни второе блюдо из квашеной капусты и мяса. В России часто называют солянка (не путать с одноимённым супом).
Этимология: есть три варианта происхождения этого слова.

от латинского слова bigustus, где bi значит два, а gustus значит вкус, потому как бигос соединяет в себе кислый и сладкий вкусы
от итальянского bigutta котёл
от немецкого Beiguss, потому что при готовке нужно доливать воду время от времени, а это слово и обозначает доливБигос считается исконно польским блюдом, однако существует версия, что оно было «импортировано» из Великого княжества Литовского в Польшу королём Владиславом Ягайло, любившим отведать его на охотничьих привалах.
Существует множество вариантов приготовления блюда. Обычно используется смесь свежей белокочанной и квашеной капусты, свинина или дичь в качестве мяса, копчёная колбаса, подчеревина (свиное сало с большим включением мяса). В блюдо также добавляют лесные грибы, чернослив, красное вино, томаты, различные пряности (часто тмин, чёрный перец, лавровый лист). Основные мясные и растительные ингредиенты готовятся по отдельности (капуста тушится, мясо и колбаса — обжариваются), затем смешиваются и тушатся вместе.
Готовое блюдо имеет густую консистенцию, слегка кисловатый вкус и запах копчёностей. Подают бигос горячим с хлебом, белым или чёрным, зачастую — под водку.
Поскольку блюдо не теряет вкусовых качеств при разогревании, его часто готовят в больших количествах в объёмной посуде, а потом замораживают. На стол блюдо, как правило, подают в той же посуде, в которой готовят; рекомендуется перед каждой подачей на стол разогревать не только то, что будет съедено, а весь объём блюда прямо в этой посуде; считается, что при каждом разогревании оно «доходит» и вкусовые качества улучшаются.
Блюду посвящён отрывок знаменитой поэмы Мицкевича «Пан Тадеуш» (Глава IV, «Дипломатия и охота»); он начинается со строк: «W kociołkach bigos grzano; w słowach wydać trudno bigosu smak przedziwny, kolor i woń cudną» («В котелках бигос грели; в словах передать трудно бигоса вкус предивный, цвет и запах чудесный»)."	wiki/bigos.jpg
